base_yr_qtr_cd,adm_cd,adm_nm,svc_induty_cd,svc_induty_nm,stor_co,similr_induty_stor_co,opbiz_rt,opbiz_stor_co,clsbiz_rt,clsbiz_stor_co,frc_stor_co
20254,11110650,혜화동,CS200044,여행사,9.0,9.0,0.0,0.0,0.0,0.0,0.0
20254,11110650,혜화동,CS300019,의료기기,2.0,2.0,0.0,0.0,50.0,1.0,0.0
20254,11110650,혜화동,CS300031,가구,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20254,11110650,혜화동,CS300032,가전제품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20254,11110670,창신1동,CS200028,미용실,17.0,17.0,6.0,1.0,0.0,0.0,0.0
20254,11110670,창신1동,CS200043,건축물청소,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20254,11110670,창신1동,CS300006,미곡판매,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20254,11110670,창신1동,CS300008,수산물판매,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20254,11110670,창신1동,CS300015,가방,15.0,16.0,6.0,1.0,0.0,0.0,1.0
20254,11110670,창신1동,CS300028,화초,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20254,11110670,창신1동,CS300036,조명용품,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20254,11110680,창신2동,CS100005,제과점,3.0,4.0,0.0,0.0,0.0,0.0,1.0
20254,11110680,창신2동,CS200005,스포츠 강습,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20254,11110680,창신2동,CS200016,당구장,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20254,11110680,창신2동,CS200027,모터사이클수리,3.0,3.0,0.0,0.0,33.0,1.0,0.0
20254,11110680,창신2동,CS300004,핸드폰,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20254,11110600,가회동,CS300016,안경,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20254,11110670,창신1동,CS300024,운동/경기용품,16.0,16.0,0.0,0.0,0.0,0.0,0.0
20254,11110615,종로1·2·3·4가동,CS200030,피부관리실,40.0,41.0,2.0,1.0,2.0,1.0,1.0
20254,11110650,혜화동,CS100004,양식음식점,54.0,58.0,3.0,2.0,5.0,3.0,4.0
20254,11110630,종로5·6가동,CS200043,건축물청소,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20254,11110680,창신2동,CS300023,미용재료,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20254,11110680,창신2동,CS300035,인테리어,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20254,11110680,창신2동,CS300039,모터사이클및부품,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20254,11110690,창신3동,CS100008,분식전문점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20254,11110690,창신3동,CS200024,스포츠클럽,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20254,11110690,창신3동,CS300008,수산물판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20254,11110690,창신3동,CS300009,청과상,2.0,2.0,0.0,0.0,0.0,0.0,0.0
